wave,time,lane,type
1,0.0,0,fast
1,3.0,4,fast
1,6.0,2,portal_dog
1,9.0,1,normal
1,12.0,3,normal
1,15.0,0,chick
1,18.0,4,chick
2,0.0,1,portal_dog
2,3.0,3,portal_dog
2,6.0,0,fast
2,6.0,4,fast
2,10.0,2,car_boss
2,14.0,1,chick
2,14.0,3,chick
2,18.0,2,portal_dog
3,0.0,0,fast
3,0.0,1,fast
3,0.0,3,fast
3,0.0,4,fast
3,4.0,2,car_boss
3,8.0,0,portal_dog
3,8.0,4,portal_dog
3,12.0,2,car_boss
3,16.0,1,fast
3,16.0,3,fast
4,0.0,0,fast
4,0.0,1,fast
4,0.0,2,fast
4,0.0,3,fast
4,0.0,4,fast
4,4.0,1,car_boss
4,4.0,3,car_boss
4,8.0,0,portal_dog
4,8.0,4,portal_dog
4,12.0,2,car_boss
4,16.0,0,chick
4,16.0,4,chick
4,20.0,2,car_boss
