wave,time,lane,type
1,0.0,2,hero_dog
1,3.0,0,white_eye
1,6.0,4,white_eye
1,9.0,1,portal_dog
1,12.0,3,portal_dog
1,15.0,2,hero_dog
1,18.0,0,car_boss
2,0.0,1,white_eye
2,3.0,3,white_eye
2,6.0,0,portal_dog
2,9.0,4,portal_dog
2,12.0,2,hero_dog
2,15.0,1,car_boss
2,18.0,3,white_eye
3,0.0,0,white_eye
3,0.0,2,white_eye
3,0.0,4,white_eye
3,4.0,1,hero_dog
3,4.0,3,hero_dog
3,8.0,2,car_boss
3,12.0,0,portal_dog
3,12.0,4,portal_dog
3,16.0,2,white_eye
4,0.0,0,hero_dog
4,0.0,1,hero_dog
4,0.0,3,hero_dog
4,0.0,4,hero_dog
4,3.0,2,white_eye
4,7.0,1,car_boss
4,7.0,3,car_boss
4,11.0,0,boss_ske
4,15.0,2,white_eye
4,19.0,1,portal_dog
4,19.0,3,portal_dog
5,0.0,0,boss_ske
5,0.0,4,boss_ske
5,4.0,1,white_eye
5,4.0,2,white_eye
5,4.0,3,white_eye
5,8.0,0,car_boss
5,8.0,4,car_boss
5,12.0,2,hero_dog
5,16.0,1,portal_dog
5,16.0,3,portal_dog
6,0.0,2,boss_ske
6,3.0,0,car_boss
6,3.0,1,hero_dog
6,3.0,3,hero_dog
6,3.0,4,car_boss
6,7.0,0,white_eye
6,7.0,1,white_eye
6,7.0,3,white_eye
6,7.0,4,white_eye
6,11.0,2,car_boss
6,15.0,1,boss_ske
6,19.0,0,portal_dog
6,19.0,4,portal_dog
6,23.0,2,car_boss
