wave,time,lane,type
1,0.0,2,chick
1,4.0,0,fast
1,4.0,4,fast
1,8.0,2,normal
1,12.0,1,slow
1,12.0,3,slow
1,16.0,2,chick
2,0.0,1,portal_dog
2,4.0,3,portal_dog
2,7.0,0,chick
2,7.0,4,chick
2,11.0,2,fast
2,14.0,1,slow
2,17.0,3,chick
3,0.0,0,fast
3,0.0,2,fast
3,0.0,4,fast
3,4.0,1,portal_dog
3,4.0,3,portal_dog
3,8.0,2,car_boss
3,12.0,0,chick
3,15.0,4,chick
4,0.0,0,chick
4,0.0,1,fast
4,0.0,3,fast
4,0.0,4,chick
4,4.0,2,portal_dog
4,8.0,1,car_boss
4,12.0,2,chick
4,12.0,0,slow
4,16.0,3,car_boss
4,20.0,4,fast
