wave,time,lane,type
1,0.0,2,fast
1,3.0,0,normal
1,6.0,4,normal
1,9.0,1,hero_dog
1,12.0,3,hero_dog
1,15.0,2,fast
1,18.0,0,fast
2,0.0,1,white_eye
2,4.0,3,white_eye
2,7.0,0,portal_dog
2,7.0,4,portal_dog
2,11.0,2,hero_dog
2,15.0,1,fast
2,18.0,3,fast
3,0.0,0,hero_dog
3,0.0,4,hero_dog
3,4.0,2,white_eye
3,8.0,1,portal_dog
3,8.0,3,portal_dog
3,12.0,2,car_boss
3,15.0,0,fast
3,15.0,4,fast
4,0.0,1,white_eye
4,0.0,3,white_eye
4,3.0,0,hero_dog
4,3.0,4,hero_dog
4,6.0,2,car_boss
4,10.0,1,portal_dog
4,10.0,3,portal_dog
4,14.0,0,white_eye
4,14.0,4,white_eye
5,0.0,0,hero_dog
5,0.0,1,hero_dog
5,0.0,2,hero_dog
5,0.0,3,hero_dog
5,0.0,4,hero_dog
5,4.0,1,car_boss
5,4.0,3,car_boss
5,8.0,0,white_eye
5,8.0,4,white_eye
5,12.0,2,car_boss
5,16.0,1,portal_dog
5,16.0,3,portal_dog
5,20.0,2,car_boss
